"cidade","provedor","rtt_mediana","testes"
"Patrocínio","Telefônica",22.0,9
"Alexânia","Telefônica",22.0,30
"Santa Cruz do Sul","Telefônica",22.0,6
"Paraty","Telefônica",22.0,9
"Veranópolis","Telefônica",22.0,1
"Tubarão","Telefônica",22.0,3
"Coronel Fabriciano","Telefônica",22.0,1
"Gramado","Telefônica",22.0,1
"São José dos Pinhais","Telefônica",22.5,105
"Santa Luzia","Telefônica",22.5,72
"Catanduva","Claro",22.5,34
"Botucatu","Claro",22.5,288
"Uberaba","Telefônica",22.5,150
"Resende","Telefônica",22.5,20
"Curvelo","Telefônica",22.5,46
"Muriaé","Telefônica",22.5,7
"Ibirité","Telefônica",22.5,13
"Alagoa","Claro",22.5,26
"Piracicaba","Claro",22.75,7252
"Sete Lagoas","Telefônica",22.75,350
"Urucurituba","Claro",22.875,66
"Cabo Frio","Telefônica",22.875,316
"Bombinhas","Claro",22.875,27
"Aparecida de Goiânia","Telefônica",22.875,55
"Passo Fundo","Telefônica",22.875,259
"Cachoeirinha","Claro",23.0,32
"Timóteo","Claro",23.0,7
"Imbituba","Telefônica",23.0,4
"Carazinho","Telefônica",23.0,2
"Venâncio Aires","Telefônica",23.0,3
"Camboriú","Claro",23.0,2
"Camboriú","Telefônica",23.0,30
"Fazenda Rio Grande","Claro",23.0,27
"Tramandaí","Claro",23.0,1
"Extrema","Telefônica",23.5,55
"Conselheiro Lafaiete","Telefônica",23.5,55
"Marília","Claro",23.5,565
"Barbacena","Claro",23.5,20
"Pinhais","Claro",23.5,72
"Araguari","Telefônica",23.5,11
"Timóteo","Telefônica",23.5,43
"Lagoa Santa","Claro",23.5,65
"Três Corações","Telefônica",23.5,200
"Santa Rita do Sapucaí","Telefônica",23.5,68
"Andradina","Telefônica",23.5,33
"Franca","Claro",23.75,647
"Joinville","Claro",23.75,2853
"Belo Horizonte","Claro",23.75,7144
"São José","Telefônica",23.75,1131
"Piedade","Claro",23.75,176
"Cachoeira do Sul","Claro",23.75,25
"Plácido de Castro","Claro",23.75,3
"Palhoça","Telefônica",23.875,219
"Contagem","Claro",23.875,448
"Formosa","Telefônica",24.0,50
"Bento Gonçalves","Telefônica",24.0,8
"Lavras","Claro",24.0,10
"Japeri","Claro",24.0,1
"Manhuaçu","Claro",24.0,2
"Farroupilha","Telefônica",24.0,10
"Dois Irmãos","Telefônica",24.0,6
"Taquara","Telefônica",24.0,1
"Jaraguá do Sul","Claro",24.5,545
"Araçatuba","Claro",24.5,495
"Cataguases","Telefônica",24.5,250
"Colombo","Claro",24.5,29
"Duque de Caxias","Claro",24.75,190
"Florianópolis","Telefônica",24.875,1539
"Caieiras","Claro",24.875,237
"Cascavel","Telefônica",24.875,156
"Campos dos Goytacazes","Telefônica",24.875,123
"Brasília","Telefônica",24.9375,6432
"Concórdia","Telefônica",25.0,44
"Estância Velha","Claro",25.0,6
"Valparaíso de Goiás","Telefônica",25.0,9
"Morrinhos","Telefônica",25.0,1
"Três de Maio","Telefônica",25.0,2
"Blumenau","Claro",25.5,4095
"Rio das Ostras","Telefônica",25.5,112
"Sacramento","Telefônica",25.5,121
"Sete Lagoas","Claro",25.5,37
"São Bento do Sul","Claro",25.5,154
"Apucarana","Telefônica",25.75,133
"Petrópolis","Claro",25.75,205
"Teresópolis","Claro",25.75,75
"Coronel Fabriciano","Claro",26.0,16
"Almirante Tamandaré","Claro",26.0,9
"Fraiburgo","Telefônica",26.0,1
"Teutônia","Claro",26.0,2
"Muriaé","Claro",26.0,2
"Umuarama","Telefônica",26.0,7
"Itaúna","Claro",26.0,3
"Eldorado do Sul","Claro",26.0,1
"São José dos Pinhais","Claro",26.5,317
"Campos dos Goytacazes","Claro",26.5,117
"Ipatinga","Telefônica",26.5,210
"Londrina","Claro",26.5,947
"Balneário Camboriú","Claro",26.5,1206
"Ponta Grossa","Claro",26.5,1415
"Viçosa","Telefônica",26.5,70
"Anápolis","Telefônica",26.5,35
"Ubá","Telefônica",26.5,7
"Teófilo Otoni","Telefônica",26.5,101
"Rio Bonito","Telefônica",26.5,15
"Maringá","Claro",26.75,817
"Campo Mourão","Telefônica",26.75,20
"Curitiba","Claro",26.875,10953
"Maringá","Telefônica",26.9375,2769
"Pato Branco","Telefônica",27.0,4
"Goianésia","Telefônica",27.0,89
"Luziânia","Claro",27.0,13
"Cianorte","Telefônica",27.0,7
"Serranópolis","Telefônica",27.0,6
"Itajaí","Claro",27.0,317
"Ponte Nova","Telefônica",27.0,2
"São Marcos","Telefônica",27.0,1
"Canela","Telefônica",27.0,1
"Nova Petrópolis","Telefônica",27.0,1
"Garibaldi","Telefônica",27.0,1
"Itabira","Telefônica",27.5,27
"Varginha","Claro",27.5,56
"Ouro Preto","Telefônica",27.5,37
"São Pedro da Aldeia","Telefônica",27.5,11
"Araxá","Telefônica",27.5,11
"Juiz de Fora","Claro",27.875,2593
"Senador Canedo","Claro",28.0,45
"Santa Maria","Telefônica",28.0,17
"Pinheirinho","Claro",28.0,15
"Araucária","Claro",28.0,3
"Santa Rosa","Telefônica",28.0,2
"Iconha","Claro",28.0,1
"Itaperuna","Telefônica",28.5,36
"Sabará","Claro",28.5,17
"Colatina","Claro",28.875,173
"Belo Horizonte","Telefônica",28.9375,6020
"Pelotas","Telefônica",29.0,286
"Dourados","Telefônica",29.0,172
"Jales","Claro",29.0,77
"Alvorada","Claro",29.0,1
"Presidente Prudente","Claro",29.5,771
"Governador Valadares","Telefônica",29.5,404
"Brusque","Claro",29.5,54
"Iguaba Grande","Telefônica",29.5,37
"Montes Claros","Claro",29.5,729
"Três Coroas","Claro",29.5,7
"Macaé","Claro",29.75,484
"Colatina","Telefônica",29.875,146
"Campo Grande","Telefônica",29.9375,1760
"Chapecó","Telefônica",30.0,42
"Palmeira","Claro",30.0,10
"Palmeira das Missões","Claro",30.0,2
"Charqueadas","Claro",30.0,7
"Ipatinga","Claro",30.5,95
"Lajeado","Claro",30.5,35
"Brodowski","Claro",30.5,5
"Pouso Alegre","Claro",30.875,205
"Porto Alegre","Claro",30.96875,12448
"Paracatu","Telefônica",31.0,47
"Montenegro","Claro",31.0,1
"Santana do Livramento","Telefônica",31.0,2
"Osório","Claro",31.0,1
"Capão da Canoa","Claro",31.5,24
"Novo Hamburgo","Claro",31.75,644
"Serra","Claro",31.75,458
"Canoas","Claro",31.875,912
"Serra","Telefônica",31.875,856
"Santo Ângelo","Telefônica",32.0,1
"Santo Anastácio","Telefônica",32.0,2
"Sarandi","Claro",32.0,1
"Joaçaba","Claro",32.0,2
"Esteio","Claro",33.0,161
"Cariacica","Telefônica",33.0,291
"Aracruz","Telefônica",33.0,38
"Guarapari","Telefônica",33.0,340
"Cianorte","Claro",33.0,12
"Arapongas","Claro",33.0,41
"Alfenas","Claro",33.0,4
"Itapetininga","Claro",33.5,165
"Vila Velha","Claro",33.5,1344
"Vitória","Claro",33.5,1800
"Sabará","Telefônica",33.5,36
"Teresópolis","Telefônica",33.5,26
"Cariacica","Claro",33.5,131
"Cachoeiro de Itapemirim","Claro",33.5,38
"Aracruz","Claro",33.5,17
"Caxias do Sul","Claro",33.75,1844
"Guaratinguetá","Claro",33.75,143
"Cubatão","Claro",33.75,470
"Juiz de Fora","Telefônica",33.75,782
"Vila Velha","Telefônica",33.875,1109
"Sumaré","Claro",33.875,780
"Vitória","Telefônica",33.875,1386
"Guaíba","Claro",33.875,206
"Aparecida de Goiânia","Claro",34.0,5
"Itamarandiba","Telefônica",34.0,1
"Arroio do Meio","Claro",34.0,2
"Monte Carmelo","Telefônica",34.0,2
"Jaraguá","Telefônica",34.0,1
"Linhares","Telefônica",35.0,179
"Poços de Caldas","Claro",35.0,475
"Gravatal","Claro",35.0,262
"Criciúma","Claro",35.0,520
"Novo Hamburgo","Telefônica",35.0,141
"Cruz Alta","Claro",35.0,82
"Cachoeiro de Itapemirim","Telefônica",35.0,475
"Cachoeirinha","Telefônica",35.0,37
"Governador Valadares","Claro",35.0,149
"Guarapuava","Claro",35.0,97
"Araxá","Claro",35.0,29
"Capelinha","Telefônica",35.0,3
"Araguari","Claro",35.0,35
"Almenara","Telefônica",35.0,7
"Montes Claros","Telefônica",35.5,323
"Uberlândia","Claro",35.5,3318
"Farroupilha","Claro",35.5,104
"São Mateus","Telefônica",35.5,76
"Sapucaia do Sul","Claro",35.5,141
"Gravataí","Claro",35.875,44
"Santa Albertina","Telefônica",36.0,10
"Concórdia","Claro",36.0,15
"Bagé","Telefônica",36.0,2
"Bento Gonçalves","Claro",37.0,270
"Uberaba","Claro",37.0,425
"Campo Bom","Claro",37.0,121
"Vacaria","Claro",37.0,117
"Teófilo Otoni","Claro",37.0,8
"Tubarão","Claro",37.0,22
"Patos de Minas","Claro",37.0,154
"Três Lagoas","Telefônica",37.0,25
"Jerônimo Monteiro","Telefônica",37.0,5
"Cascavel","Claro",37.5,368
"Bujari","Claro",37.75,4
"Três Rios","Claro",37.875,30
"Fátima","Claro",38.0,20
"Estrela","Claro",38.0,64
"Campo Limpo Paulista","Claro",38.0,1
"Gramado","Claro",38.0,1
"Carlos Barbosa","Telefônica",38.0,1
"Campo Limpo de Goiás","Claro",38.0,1
"Encantado","Claro",38.0,1
"Xaxim","Claro",38.0,1
"Passo Fundo","Claro",39.0,308
"São Leopoldo","Claro",39.0,254
"Chapecó","Claro",39.0,671
"Cachoeira do Sul","Telefônica",39.0,453
"Araquari","Telefônica",39.0,8
"Capinzal","Telefônica",39.0,10
"Itapema","Claro",39.0,63
"Ituiutaba","Claro",39.0,76
"Contagem","Telefônica",39.5,450
"São João de Meriti","Claro",39.75,220
"Varginha","Telefônica",39.75,254
"Brasília de Minas","Telefônica",40.0,3
"Carlos Barbosa","Claro",40.0,2
"Palmeira das Missões","Telefônica",40.0,2
"Ponta Porã","Claro",40.0,5
"Ijuí","Telefônica",41.0,58
"Aguaí","Telefônica",41.0,12
"São Lourenço do Sul","Claro",41.0,19
"Pelotas","Claro",41.5,611
"Santa Cruz do Sul","Claro",41.5,935
"Campo Verde","Telefônica",42.0,5
"Porto Seguro","Claro",43.0,36
"Lucas do Rio Verde","Telefônica",43.0,21
"Guará","Claro",43.0,12
"Santa Maria","Claro",43.75,2132
"Rio Grande","Claro",43.75,152
"Pontal","Telefônica",44.0,2
"Teixeira de Freitas","Claro",44.0,34
"Cachoeira Paulista","Telefônica",44.0,3
"São Gabriel da Palha","Claro",44.0,1
"Naviraí","Claro",44.0,1
"Erechim","Claro",45.0,229
"Mineiros","Telefônica",45.0,100
"Leme","Claro",45.0,76
"Paraíso do Tocantins","Claro",45.0,9
"Araguaína","Telefônica",45.0,8
"Tapera","Telefônica",46.0,1
"Araguaína","Claro",47.0,43
"São José da Lapa","Telefônica",47.0,36
"Itajubá","Claro",47.0,5
"Palmas","Telefônica",47.5,156
"Jatai","Telefônica",47.5,326
"Gurupi","Claro",47.5,31
"Açailândia","Telefônica",48.0,1
"Ponta Porã","Telefônica",48.0,1
"Santo Ângelo","Claro",49.0,466
"Camaçari","Claro",49.0,361
"Uruguaiana","Claro",49.5,291
"Valparaíso de Goiás","Claro",49.5,185
"Itabuna","Claro",51.0,73
"Ilhéus","Claro",51.0,759
"Alagoinhas","Claro",51.0,94
"Sorriso","Telefônica",51.0,348
"Brasília","Claro",51.9375,12799
"Vitória da Conquista","Claro",52.0,233
"Teixeira de Freitas","Telefônica",52.0,4
"Itaboraí","Claro",52.0,6
"Bagé","Claro",53.0,35
"Itumbiara","Claro",53.5,44
